Name,Project Title,Amount($),Fiscal Year,Program
"Banzhaf, Wolfgang",From Genetic Programming to Computational Evolution,34000,2013-2014,Discovery Grants Program - Individual
"Banzhaf, Wolfgang",From Genetic Programming to Computational Evolution,34000,2015-2016,Discovery Grants Program - Individual
"Banzhaf, Wolfgang",From Genetic Programming to Computational Evolution,34000,2012-2013,Discovery Grants Program - Individual
"Banzhaf, Wolfgang",Emergence and Open-ended Evolution in Genetic Programming,8000,2018-2019,Discovery Grants Program - Individual
"Banzhaf, Wolfgang",From Genetic Programming to Computational Evolution,34000,2016-2017,Discovery Grants Program - Individual
"Baranoski, Gladimir",Expanding the Frontiers of Predictive Simulations of Light and Matter Interactions,29000,2022-2023,Discovery Grants Program - Individual
"Baratin, Aristide",Generalization in Structured Prediction and Deep Learning,17500,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Baratin, AristideA",Generalization in Structured Prediction and Deep Learning,52500,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"BarbaFlores, LuisFelipe",Proximity data structures and facility location problems,50000,2015-2016,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"BarbaFlores, LuisFelipe",Proximity data structures and facility location problems,50000,2013-2014,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"BarbaFlores, LuisFelipe",Proximity data structures and facility location problems,50000,2014-2015,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Barbeau, Michel",Underwater Acoustic Sensor Networks,23000,2022-2023,Discovery Grants Program - Individual
"Barbosa, Denilson",Building and Querying Knowledge Graphs from Text Corpora,46000,2022-2023,Discovery Grants Program - Individual
"Barbosa, Denilson",Deep learning and word embeddings for HR processes,25000,2017-2018,Engage Grants Program
"Barclay, Christopher",Population-level data mining from Fitbits using Python,4500,2020-2021,University Undergraduate Student Research Awards
"Barker, Andrew",Transformative Quantum Technologies,11517271,2021-2022,Canada First Research Excellence Fund
"Barnett, Samuel",Prototyping and Field Testing Capra: a Wearable Personal Data Device,4500,2020-2021,University Undergraduate Student Research Awards
"Barrera, David",Secure and usable coexistence of third-party software on smartphones,35000,2013-2014,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Barrera, David",Security and Privacy in the Internet of Things,23000,2022-2023,Discovery Grants Program - Individual
"Barrera, DavidJose",Secure and usable coexistence of third-party software on smartphones,35000,2012-2013,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Barrera, DavidJose",Secure and usable coexistence of third-party software on smartphones,35000,2011-2012,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"BarreraMachuca, MayraDonaji",Characterizing Human Spatial Thinking When Designing 3D Objects.,25000,2022-2023,Discovery Grants Program - Individual
"Barrière, Caroline",Toward a second generation of an automatic product coding system,59736,2011-2012,Collaborative Research and Development Grants
"Barrière, Caroline",Toward a second generation of an automatic product coding system,61760,2012-2013,Collaborative Research and Development Grants
"Barrière, Caroline",Toward a second generation of an automatic product coding system,49660,2013-2014,Collaborative Research and Development Grants
"Barsky, Marina",Genome-scale mining of sequential data,40000,2010-2011,Postdoctoral Fellowships
"Barsky, Marina",Genome-scale mining of sequential data,40000,2011-2012,Postdoctoral Fellowships
"Bartlett, Ross",Analysis of software feature evolution,4500,2018-2019,University Undergraduate Student Research Awards
"Bartram, Linda(Lyn)",Visualization for Personal Energy Analytics,25000,2015-2016,Engage Grants Program
"Bartram, Lyn",Interactive Techniques for Personal Visual Analytics,23000,2018-2019,Discovery Grants Program - Individual
"Bartram, Lyn",Interactive Techniques for Personal Visual Analytics,23000,2017-2018,Discovery Grants Program - Individual
"Bartram, Lyn",Interactive Techniques for Personal Visual Analytics,23000,2020-2021,Discovery Grants Program - Individual
"Bartram, Lyn",Interactive Techniques for Personal Visual Analytics,23000,2019-2020,Discovery Grants Program - Individual
"Bartram, Lyn",Interactive Techniques for Personal Visual Analytics,23000,2022-2023,Discovery Grants Program - Individual
"Bashivan, Pouya P",Reverse engineering the electrosensory-motor loop in weakly electric fish using biologically-realistic deep neural networks,45000,2023-2024,Alliance Grants
"basir, otman",Coordination and Cooperation in Self-Driving Vehicles,56000,2022-2023,Discovery Grants Program - Individual
"Basu, Anup",Biologically motivated Multimedia,35000,2022-2023,Discovery Grants Program - Individual
"Bateman, Scott",Mixed Reality Groupware to Support Physical Collaborations,41000,2022-2023,Discovery Grants Program - Individual
"Batty, Christopher",Computational Methods for Simulating Flows and Structures with Complex Dynamic Geometry,48000,2022-2023,Discovery Grants Program - Individual
"Bauer, Michael",Discovering foundations and methods for autonomic computing,31000,2014-2015,Discovery Grants Program - Individual
"Bauer, Michael",Discovering foundations and methods for autonomic computing,31000,2011-2012,Discovery Grants Program - Individual
"Bauer, Michael",Discovering foundations and methods for autonomic computing,31000,2010-2011,Discovery Grants Program - Individual
"Bauer, Michael",Discovering foundations and methods for autonomic computing,31000,2012-2013,Discovery Grants Program - Individual
"Bauer, Michael",Discovering foundations and methods for autonomic computing,31000,2013-2014,Discovery Grants Program - Individual
"Baumgart, DanielD",From Data to Decision (fD2D): Artificial Intelligence from Data Value Chain to Human Value,52000,2022-2023,Collaborative Research and Training Experience
"Bayless, Samuel",An hci for simulating mnemonist data recall,17500,2010-2011,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Baysal, Olga",Understanding and Leveraging Context in Code Review,35000,2022-2023,Discovery Grants Program - Individual
"Baysal, Olga",Understanding and Leveraging Context in Code Review,35000,2021-2022,Discovery Grants Program - Individual
"Beaudry, Éric",Models and Plan Recognition Algorithms for Assistant Agents,24000,2022-2023,Discovery Grants Program - Individual
"Beck, Chris",Manipulating Models in Artificial Intelligence and Operations Research,93000,2022-2023,Discovery Grants Program - Individual
"Becker, Christoph",Sustainability Design in software and information systems engineering,22000,2017-2018,Discovery Grants Program - Individual
"Becker, Christoph",Data-intensive curation of sustainability assessments,25000,2018-2019,Engage Grants Program
"Bédard, JeanSamuel",Initiation à l'apprentissage machine,4500,2013-2014,University Undergraduate Student Research Awards
"Bedi, Sanjeev S",AI methods for CNC machines,100000,2023-2024,Alliance Grants
"Beekhuizen, Barend",Computational models of word meaning in use,23000,2022-2023,Discovery Grants Program - Individual
"Beg, Mirza Faisal",Brains behind the eyes: Interpreting Medical Images,110000,2023-2024,Discovery Grants Program - Individual
"Behsaz, Bahar",Combinatorial and Probablistic Algorithms and Software Tools for De Novo Assembly and Analysis of RNA-seq Data,10500,2015-2016,Postgraduate Scholarships - Doctoral
"Behsaz, Bahar",Combinatorial and Probablistic Algorithms and Software Tools for De Novo Assembly and Analysis of RNA-seq Data,10500,2018-2019,Postgraduate Scholarships - Doctoral
"Behsaz, Bahar",Combinatorial and Probablistic Algorithms and Software Tools for De Novo Assembly and Analysis of RNA-seq Data,21000,2017-2018,Postgraduate Scholarships - Doctoral
"Behsaz, Bahar",Combinatorial and Probablistic Algorithms and Software Tools for De Novo Assembly and Analysis of RNA-seq Data,21000,2016-2017,Postgraduate Scholarships - Doctoral
"BeigiMohammadi, Nasim",Design and Evaluation of Application-Aware Software-Defined Networks,35000,2016-2017,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"BeigiMohammadi, Nasim",Design and Evaluation of Application-Aware Software-Defined Networks,35000,2017-2018,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bekolay, Trevor",Solving supervised learning problems in spiking neural networks,35000,2014-2015,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Belcastro, Quinton",Analysis of Canadian Open Data,4500,2019-2020,University Undergraduate Student Research Awards
"Belhaddad, EmirKhaled",Implementation of a resource-constrained dynamic virtual machine,4500,2017-2018,University Undergraduate Student Research Awards
"Belilovsky, Eugene",Towards Continual and Compositional Learning in the Visual World,24000,2022-2023,Discovery Grants Program - Individual
"Bellemare, Marc",Reinforcement Learning Algorithms Designed to Persist,28000,2022-2023,Discovery Grants Program - Individual
"Bellman, Christopher",Tapping the Subconscious Mind Using Brain-Computer Interfaces,4500,2015-2016,University Undergraduate Student Research Awards
"Beltrame, Giovanni",Engineering Resilient Swarm Robotics Systems,28000,2023-2024,Discovery Grants Program - Individual
"Beltrame, Giovanni GM",ENVIA - Simulation environment for AI-driven vehicles,121952,2023-2024,Alliance Grants
"BenArous, MohamedAmine",Analyse de données financières par des techniques d'apprentissage machine,4500,2019-2020,University Undergraduate Student Research Awards
"BenAyed, Ismail",Optimization- and learning-based algorithms for medical image computing,34800,2018-2019,Discovery Grants Program - Individual
"BenAyed, Ismail",Automated detection and grading of Diabetic Retinopathy using deep convolutional neural networks,25000,2018-2019,Engage Grants Program
"BenAyed, Ismail",Automated segmentation of cardiac structures in magnetic resonance imaging via deep convolutional neural networks,25000,2017-2018,Engage Grants Program
"BenAyed, Ismail",Optimization- and learning-based algorithms for medical image computing,34800,2016-2017,Discovery Grants Program - Individual
"BenAyed, Ismail",Optimization and learning algorithms for medical image interpretation,48000,2019-2020,Discovery Grants Program - Individual
"BenAyed, Ismail",Optimization and learning algorithms for medical image interpretation,48000,2020-2021,Discovery Grants Program - Individual
"BenAyed, Ismail",Optimization- and learning-based algorithms for medical image computing,34800,2015-2016,Discovery Grants Program - Individual
"BenAyed, Ismail",Optimization- and learning-based algorithms for medical image computing,34800,2014-2015,Discovery Grants Program - Individual
"BenAyed, Ismail",Optimization and learning algorithms for medical image interpretation,48000,2022-2023,Discovery Grants Program - Individual
"BenAyed, Ismail",Optimization and learning algorithms for medical image interpretation,48000,2021-2022,Discovery Grants Program - Individual
"BenDavid, Shai",Machine Learning Beyond Prediction - Extracting Insights and Guiding Actions,41000,2022-2023,Discovery Grants Program - Individual
"BenDavid, Shalev",The Nature of Quantum Speedups,28000,2022-2023,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2022-2023,Discovery Grants Program - Individual
"Benedicenti, Luigi",Agile process invariants,21440,2010-2011,Discovery Grants Program - Individual
"Benedicenti, Luigi",Agile process invariants,21440,2011-2012,Discovery Grants Program - Individual
"Benedicenti, Luigi",Agile process invariants,21440,2013-2014,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2020-2021,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2019-2020,Discovery Grants Program - Individual
"Benedicenti, Luigi",The Role of Affect in Decision Making for Agile Processes,23000,2018-2019,Discovery Grants Program - Individual
"Bener, Ayse",Towards Measuring Defect Debt and Developing a Recommender System for Their Prioritization,26000,2018-2019,Discovery Grants Program - Individual
"Bener, Ayse",Recommender system empowered by contextual information,68000,2018-2019,Collaborative Research and Development Grants
"Bener, Ayse",Test case prioritization,52000,2018-2019,Collaborative Research and Development Grants
"Bener, Ayse",Test case prioritization,52000,2016-2017,Collaborative Research and Development Grants
"Bener, Ayse",Analytics for intraday trading data,100000,2016-2017,Collaborative Research and Development Grants
"Bener, Ayse",Predicting patch quality,25000,2016-2017,Engage Grants Program
"Bener, Ayse",Recommender system empowered by contextual information,68000,2016-2017,Collaborative Research and Development Grants
"Bener, Ayse",Decision Making under Uncertainty in Software Engineering: Release Readiness,28000,2016-2017,Discovery Grants Program - Individual
"Bener, Ayse",Towards Measuring Defect Debt and Developing a Recommender System for Their Prioritization,26000,2017-2018,Discovery Grants Program - Individual
"Bener, Ayse",Recommender system empowered by contextual information,60000,2017-2018,Collaborative Research and Development Grants
"Bener, Ayse",Test case prioritization,52000,2017-2018,Collaborative Research and Development Grants
"Bener, Ayse",Analytics for intraday trading data,100000,2017-2018,Collaborative Research and Development Grants
"Bener, Ayse",Towards Measuring Defect Debt and Developing a Recommender System for Their Prioritization,26000,2019-2020,Discovery Grants Program - Individual
"Bener, Ayse",Detecting similarities and conflicts in software requirements,68000,2019-2020,Collaborative Research and Development Grants
"Bener, Ayse",Towards Measuring Defect Debt and Developing a Recommender System for Their Prioritization,26000,2020-2021,Discovery Grants Program - Individual
"Bener, Ayse",Detecting similarities and conflicts in software requirements,68000,2020-2021,Collaborative Research and Development Grants
"Bener, Ayse",Detecting similarities and conflicts in software requirements,68000,2021-2022,Collaborative Research and Development Grants
"Bener, Ayse",Decision Making under Uncertainty in Software Engineering: Release Readiness,28000,2012-2013,Discovery Grants Program - Individual
"Bener, Ayse",Software analytics to predict software defects,25000,2014-2015,Engage Grants Program
"Bener, Ayse",Decision Making under Uncertainty in Software Engineering: Release Readiness,28000,2015-2016,Discovery Grants Program - Individual
"Bener, Ayse",Decision Making under Uncertainty in Software Engineering: Release Readiness,28000,2014-2015,Discovery Grants Program - Individual
"Bener, Ayse",Decision Making under Uncertainty in Software Engineering: Release Readiness,28000,2013-2014,Discovery Grants Program - Individual
"Bener, Ayse",Towards Measuring Defect Debt and Developing a Recommender System for Their Prioritization,26000,2021-2022,Discovery Grants Program - Individual
"Bener, Ayse",Towards Measuring Defect Debt and Developing a Recommender System for Their Prioritization,26000,2022-2023,Discovery Grants Program - Individual
"Bengio, Yoshua",Autonomous Deep Learning for AI,89000,2022-2023,Discovery Grants Program - Individual
"Bengio, Yoshua",Chaire de recherche du Canada en algorithmes d'apprentissage statistique,150000,2019-2020,Canada Research Chairs
"Bengio, Yoshua",Chaire de recherche du Canada en algorithmes d'apprentissage statistique,200000,2018-2019,Canada Research Chairs
"Bengio, Yoshua",Chaire de recherche du Canada en algorithmes d'apprentissage statistique,200000,2017-2018,Canada Research Chairs
"BenHamza, Abdessamad",Learning Graph Representations for Intelligent Visual Computing,28000,2022-2023,Discovery Grants Program - Individual
"Benjamin, Shaun",Runtime Verification of File-System Software,4500,2011-2012,University Undergraduate Student Research Awards
"Benlamri, Rachid",Framework for Context-Aware Mobile Learning,15000,2011-2012,Discovery Grants Program - Individual
"Benlamri, Rachid",Framework for Context-Aware Mobile Learning,15000,2010-2011,Discovery Grants Program - Individual
"Benlamri, Rachid",Automated web data extraction for Canadian fundraising institutions,25000,2013-2014,Engage Grants Program
"Benovoy, Mitchel",Biosignals analyysis and machine learning,21000,2010-2011,Postgraduate Scholarships - Doctoral
"Benovoy, Mitchel",Biosignals analyysis and machine learning,21000,2011-2012,Postgraduate Scholarships - Doctoral
"Bentahar, Jamal",Multi-agent systems for advanced semantic grid computing,17000,2011-2012,Discovery Grants Program - Individual
"Bentahar, Jamal",Multi-agent systems for advanced semantic grid computing,17000,2010-2011,Discovery Grants Program - Individual
"Bentahar, Jamal","Revolutionary Directions for New Generation of Smart, Trusted and Verifiable Distributed Cloud Services",34000,2022-2023,Discovery Grants Program - Individual
"BenYedder, Hanene",Advancing Machine Learning and Network Modelling for Big Data,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Benyedder, Hanene",Advancing Machine Learning and Network Modelling for Big Data,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Benyoucef, Morad",Designing the Next Generation of Social Commerce Platforms,56000,2022-2023,Discovery Grants Program - Individual
"Berger, Phaedra",Modeling well-being from Steam Data,4500,2019-2020,University Undergraduate Student Research Awards
"BerlotAttwell, IanIK",Automatic Discovery of Domain Specific Languages,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Bernard, Charles",Inferring Algorithmic Models of Plants Using Artificial Intelligence,35000,2018-2019,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bernard, Charles",Inferring Algorithmic Models of Plants Using Artificial Intelligence,35000,2017-2018,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bernard, CharlesJason",Inferring Algorithmic Models of Plants Using Artificial Intelligence,35000,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bernier, Michaël",Using supervised machine learning and high-resolution angiography to infer the influences of cortical vasculature on functional MRI at 7T ultra-high magnetic fields,45000,2019-2020,Postdoctoral Fellowships
"Bernier, Michaël",Using supervised machine learning and high-resolution angiography to infer the influences of cortical vasculature on functional MRI at 7T ultra-high magnetic fields,45000,2018-2019,Postdoctoral Fellowships
"Berry, Daniel",NSERC/Bank of Nova Scotia Industrial Research Chair in Requirements Engineering of Service-oriented Software Systems,124421,2010-2011,Industrial Research Chairs
"Berry, Daniel",Requirements engineering and electronic publishing,19000,2010-2011,Discovery Grants Program - Individual
"Berry, Daniel",NSERC/Bank of Nova Scotia Industrial Research Chair in Requirements Engineering of Service-oriented Software Systems,124421,2011-2012,Industrial Research Chairs
"Berry, Daniel",Requirements engineering and electronic publishing,19000,2011-2012,Discovery Grants Program - Individual
"Berry, Daniel",NSERC/Bank of Nova Scotia Industrial Research Chair in Requirements Engineering of Service-oriented Software Systems,124421,2012-2013,Industrial Research Chairs
"Berry, Daniel",Requirements engineering and electronic publishing,19000,2012-2013,Discovery Grants Program - Individual
"Berry, Daniel",Requirements engineering and electronic publishing,19000,2015-2016,Discovery Grants Program - Individual
"Berscheid, Janelle",Computational models of human-tick interactions using mobile sensor data,17500,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Bertossi, Leopoldo","Retrieval, management and analysis of data from audio and video transcripts",25000,2015-2016,Engage Grants Program
"Beschastnikh, Ivan",Compiling Distributed System Models into Implementations,35000,2020-2021,Discovery Grants Program - Individual
"Beschastnikh, Ivan",Compiling Distributed System Models into Implementations,35000,2021-2022,Discovery Grants Program - Individual
"Beschastnikh, Ivan",Compiling Distributed System Models into Implementations,35000,2022-2023,Discovery Grants Program - Individual
"Beschastnikh, Ivan",Compiling Distributed System Models into Implementations,35000,2023-2024,Discovery Grants Program - Individual
"Besenski, ThomasElijah",AI: Letter Reading Machine,4500,2017-2018,University Undergraduate Student Research Awards
"Bessmeltsev, Mikhail",Creating Virtual Shapes via Intuitive Input,28000,2022-2023,Discovery Grants Program - Individual
"Bettencourt, Jesse",Learning Easy-to-Learn Neural Ordinary Differential Equations,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bettencourt, Jesse",Learning Easy-to-Learn Neural Ordinary Differential Equations,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Bettencourt, Jesse",Learning Easy-to-Learn Neural Ordinary Differential Equations,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Beyer, Dirk",Automated formal methods for reliable software components,15610,2011-2012,Discovery Grants Program - Individual
"Beyer, Dirk",Automated formal methods for reliable software components,24000,2010-2011,Discovery Grants Program - Individual
"Bezemer, CorPaul",Leveraging community-generated data to steer the evolution of computer games,28000,2019-2020,Discovery Grants Program - Individual
"Bezemer, CorPaul",Improving the automated testing of computer games,88000,2021-2022,Alliance Grants
"Bezemer, CorPaul",Improving the automated testing of computer games,32000,2020-2021,Alliance Grants
"Bezemer, CorPaul",Leveraging community-generated data to steer the evolution of computer games,28000,2020-2021,Discovery Grants Program - Individual
"Bezemer, CorPaul",Leveraging community-generated data to steer the evolution of computer games,12500,2019-2020,Discovery Launch Supplement
"Bezemer, CorPaul",Leveraging community-generated data to steer the evolution of computer games,28000,2021-2022,Discovery Grants Program - Individual
"Bezemer, CorPaul",Leveraging community-generated data to steer the evolution of computer games,28000,2022-2023,Discovery Grants Program - Individual
"Beznosov, Konstantin",Novel Physical Protection of Personal Mobile Assets,41000,2022-2023,Discovery Grants Program - Individual
"Bhalla, Navneet",Synthetic Developmental Systems,40000,2014-2015,Postdoctoral Fellowships
"Bhargava, Aditya",Improving the automatic pronunciation of names using external data sources,35000,2013-2014,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bhargava, Aditya",Improving the automatic pronunciation of names using external data sources,35000,2012-2013,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bhargava, Aditya",Improving the automatic pronunciation of names using external data sources,35000,2011-2012,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Bhargava, Aman",ngineering humanistically intelligent dynamical feedback systems via machine le arning and EEG,4500,2020-2021,University Undergraduate Student Research Awards
"Bhavsar, Virendrakumar",Parallel and Distributed Intelligent Systems,14000,2012-2013,Discovery Grants Program - Individual
"Bhavsar, Virendrakumar",Parallel and Distributed Intelligent Systems,14000,2013-2014,Discovery Grants Program - Individual
"Bhavsar, Virendrakumar",Parallel and distributed intelligent systems,20000,2010-2011,Discovery Grants Program - Individual
"Bhavsar, Virendrakumar",Parallel and distributed intelligent systems,20000,2011-2012,Discovery Grants Program - Individual
"Bhavsar, Virendrakumar",Parallel and Distributed Intelligent Systems,14000,2014-2015,Discovery Grants Program - Individual
"Bhavsar, Virendrakumar",Parallel and Distributed Intelligent Systems,14000,2016-2017,Discovery Grants Program - Individual
"Bhavsar, Virendrakumar",Parallel and Distributed Intelligent Systems,14000,2015-2016,Discovery Grants Program - Individual
"Biddle, Robert",Usable Secure Software Design and Development,29000,2022-2023,Discovery Grants Program - Individual
"Biedl, Therese",Algorithms for near-planar graphs,41000,2022-2023,Discovery Grants Program - Individual
"Biegler, Franziska",Analysis of malicious software by automatic learnig of finite automata,40000,2011-2012,Postdoctoral Fellowships
"Biegler, Franziska",Analysis of malicious software by automatic learnig of finite automata,20000,2012-2013,Postdoctoral Fellowships
"Bigras, Emilie",Measuring visual attention to artificial intelligence recommendations in supply chain IS,4500,2017-2018,University Undergraduate Student Research Awards
"Bingham, Michael",A usable smartphone interface for security software,4500,2011-2012,University Undergraduate Student Research Awards
"Biniam, Nathan",Ethics of brain-computer therapeutic intervention for major depressive disorder,6000,2021-2022,University Undergraduate Student Research Awards
"Biniaz, Ahmad",Problems in Discrete and Computational Geometry,34000,2022-2023,Discovery Grants Program - Individual
"Biniaz, Ahmad",Minimum Spanning Graphs on Colored Point Sets,45000,2018-2019,Postdoctoral Fellowships
"Bird, Alexander",Evaluation of reuse in software documentation,4500,2013-2014,University Undergraduate Student Research Awards
"Birmingham, Elina",Investigating the effects of speech enhancement and compression algorithms for hearing protection devices in noisy environments,25000,2017-2018,Engage Grants Program
"Black, Jason",Data Science Methods for Joint Risk Prediction,4500,2016-2017,University Undergraduate Student Research Awards
"Blain, GuillaumeGB",Integrative modeling of heterogeneous data in oncology,6000,2022-2023,University Undergraduate Student Research Awards
"Blair, Kathryn",Installations for Public Engagement with Algorithms as a Co-Design Method,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Blair, Kathryn",Installations for Public Engagement with Algorithms as a Co-Design Method,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Blair, KathrynKM",Installations for Public Engagement with Algorithms as a Co-Design Method,10500,2022-2023,Postgraduate Scholarships - Doctoral
"Blanchette, Mathieu",Machine learning approaches to mine evolving 3D genomes,116000,2023-2024,Discovery Grants Program - Individual
"Blondin, Michael",Efficient verification of concurrent and distributed infinite-state systems,23000,2022-2023,Discovery Grants Program - Individual
"Blostein, Dorothea",Document analysis systems,27000,2012-2013,Discovery Grants Program - Individual
"Blostein, Dorothea",Document analysis systems,27000,2013-2014,Discovery Grants Program - Individual
"Blostein, Dorothea",Document analysis systems,27000,2011-2012,Discovery Grants Program - Individual
"Blostein, Dorothea",Document analysis systems,27000,2010-2011,Discovery Grants Program - Individual
"Blustein, William",Smart Systems for Intelligent Knowledge Use,23000,2022-2023,Discovery Grants Program - Individual
"Bodorik, Peter","Issues in Development, Management, and Distribution of Software for Heterogeneous Computing Platforms",25000,2011-2012,Engage Grants Program
"Boger, Jennifer",CARE-RATE: An AI-based dynamic online information filtering system,15000,2020-2021,Idea to Innovation
"Bohaychuk, Kaylee",Crowdsourcing in bioinformatics: parallel and distributed software systems,4500,2010-2011,University Undergraduate Student Research Awards
"BoizotRoche, Magali",Approximate alignment in machine transliteration,4500,2010-2011,University Undergraduate Student Research Awards
"Bolic, Miodrag",AI Methods for Automated Software Testing,25000,2019-2020,Engage Grants Program
"Bolufe-Rohler, Antonio",Improving Heuristic Search by Machine Learning,24000,2023-2024,Discovery Grants Program - Individual
"BolufeRohler, Antonio",Improving Heuristic Search by Machine Learning,24000,2022-2023,Discovery Grants Program - Individual
"BolufeRohler, Antonio",Improving Heuristic Search by Machine Learning,12500,2021-2022,Discovery Launch Supplement
"BolufeRohler, Antonio",Improving Heuristic Search by Machine Learning,24000,2021-2022,Discovery Grants Program - Individual
"Bonato, Anthony",Graph searching and modelling complex networks,48000,2022-2023,Discovery Grants Program - Individual
"Booth, Kellogg",Collaboration technology and multi-user interfaces,31000,2010-2011,Discovery Grants Program - Individual
"Booth, Kellogg",Collaboration technology and multi-user interfaces,42000,2011-2012,Discovery Grants Program - Individual
"Booth, Kellogg",Collaboration technology and multi-user interfaces,42000,2013-2014,Discovery Grants Program - Individual
"Booth, Kellogg",Collaboration technology and multi-user interfaces,42000,2012-2013,Discovery Grants Program - Individual
"Booth, Kellogg",Collaboration technology and multi-user interfaces,42000,2014-2015,Discovery Grants Program - Individual
"Booth, Kellogg",Collaboration technology and multi-user interfaces,42000,2015-2016,Discovery Grants Program - Individual
"Bordeleau, FrancisF","A DevOps framework for developing, operating, and evolving SDN infrastructure and applications",177737,2022-2023,Alliance Grants
"Born, Logan",New approaches to computational natural language processing using ancient Near Eastern text corpora,35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Born, Logan",New approaches to computational natural language processing using ancient Near Eastern text corpora,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Born, LoganLO",New approaches to computational natural language processing using ancient Near Eastern text corpora,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Borycki, Elizabeth",Developing a Method for Creating and Validating the Safety of Interface Design,52793,2021-2022,Discovery Grants Program - Individual
"Borycki, Elizabeth",Developing a Method for Creating and Validating the Safety of Interface Design,52793,2022-2023,Discovery Grants Program - Individual
"Borycki, Elizabeth",Developing a Method for Creating and Validating the Safety of Interface Design,52793,2020-2021,Discovery Grants Program - Individual
"Bose, Prosenjit",Geometric Computing,55000,2022-2023,Discovery Grants Program - Individual
"Bouachir, Wassim",Intelligent video surveillance for abnormal event detection,24000,2021-2022,Discovery Grants Program - Individual
"Bouachir, Wassim",Intelligent video surveillance for abnormal event detection,24000,2022-2023,Discovery Grants Program - Individual
"Bouachir, Wassim",Intelligent video surveillance for abnormal event detection,24000,2023-2024,Discovery Grants Program - Individual
"Bouachir, Wassim",Intelligent video surveillance for abnormal event detection,24000,2020-2021,Discovery Grants Program - Individual
"Bouchard, Bruno",Outil intelligent de gestion intégré de résidences pour personnes âgées: exploitation du forage de données.,25000,2014-2015,Engage Grants Program
"Bouchard, Bruno",Plateforme prototype d'appareils de sécurité intelligents pour cuisinières électriques pour les personnes en perte d'autonomie,25000,2015-2016,Engage Grants Program
"Bouchard, Bruno",Étude sur l'applicabilité des techniques d'intelligence artificielle dans le secteur du repérage automobile pour l'amélioration de la traçabilité et la prédiction par apprentissage,39140,2015-2016,Collaborative Research and Development Grants
"Bouchard, Bruno",Étude sur l'applicabilité des techniques d'intelligence artificielle dans le secteur du repérage automobile pour l'amélioration de la traçabilité et la prédiction par apprentissage,39140,2014-2015,Collaborative Research and Development Grants
"Bouchard, Bruno",Analyse de données stratégiques sur les habitudes des joueurs et développement d'outils d'aide à la décision en exploitant les techniques récentes issues du datamining,22040,2012-2013,Engage Grants Program
"Bouchard, CatherineC",Super-resolution with deep learning for fluorescence microscopy and medical imaging,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Bouchard, Kévin",Apprentissage machine et reconnaissance d'activités au sein d'habitats intelligents équipés de radars UWB,100000,2020-2021,Alliance Grants
"BouchardCôté, Alexandre",Efficient probabilistic inference and Bayesian non-parametrics with applications in phylogenetics and cancer genomics,46000,2020-2021,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Efficient probabilistic inference and Bayesian non-parametrics with applications in phylogenetics and cancer genomics,46000,2019-2020,Discovery Grants Program - Individual
"BouchardCôté, Alexandre",Efficient probabilistic inference and Bayesian non-parametrics with applications in phylogenetics and cancer genomics,46000,2016-2017,Discovery Grants Program - Individual
